"id","age_class","age","age_n","length_class","segement","segment_length","segment_end","d13C","d15N"
"7","pup",0.243835616,0,"long",1,2,2,-17.96,16.05
"7","pup",0.243835616,0,"long",2,2,4,-17.91,15.9
"7","pup",0.243835616,0,"long",3,2,6,-17.86,15.86
"7","pup",0.243835616,0,"long",4,2,8,-17.91,16.1
"7","pup",0.243835616,0,"long",5,2,10,-17.87,16.26
"7","pup",0.243835616,0,"long",6,4,14,-17.98,16.12
"7","pup",0.243835616,0,"long",7,4,18,-18.11,16.22
"7","pup",0.243835616,0,"long",8,4,22,-18.21,16.51
"7","pup",0.243835616,0,"long",9,4,26,-18.24,16.74
"7","pup",0.243835616,0,"long",10,4,30,-18.25,15.78
"7","pup",0.243835616,0,"long",11,4,34,-18.21,16.41
"7","pup",0.243835616,0,"long",12,4,38,-17.78,17.34
"7","pup",0.243835616,0,"long",13,6,44,-17.33,17.61
"7","pup",0.243835616,0,"long",14,6,50,-16.98,18.42
"7","pup",0.243835616,0,"long",15,18,68,-17.33,18.69
"8","pup",0.243835616,0,"long",1,4,4,-17.87,16.91
"8","pup",0.243835616,0,"long",2,2,6,-17.92,16.61
"8","pup",0.243835616,0,"long",3,2,8,-17.98,16.68
"8","pup",0.243835616,0,"long",4,2,10,-18,16.63
"8","pup",0.243835616,0,"long",5,2,12,-17.81,16.55
"8","pup",0.243835616,0,"long",6,2,14,-17.97,16.57
"8","pup",0.243835616,0,"long",7,2,16,-18.02,16.7
"8","pup",0.243835616,0,"long",8,2,18,-18.14,17.81
"8","pup",0.243835616,0,"long",9,2,20,-18.06,17.02
"8","pup",0.243835616,0,"long",10,2,22,-18.1,17.1
"8","pup",0.243835616,0,"long",11,2,24,-18.04,17.6
"8","pup",0.243835616,0,"long",12,4,28,-18.14,17
"8","pup",0.243835616,0,"long",13,4,32,-18.46,16.31
"8","pup",0.243835616,0,"long",14,6,38,-17.81,17.21
"8","pup",0.243835616,0,"long",15,6,44,-17.02,17.98
"8","pup",0.243835616,0,"long",16,23,67,-17.01,18.35
"9","pup",0.243835616,0,"long",1,2,2,-18.32,18.6
"9","pup",0.243835616,0,"long",2,2,4,-18.08,18.38
"9","pup",0.243835616,0,"long",3,2,6,-17.91,18.3
"9","pup",0.243835616,0,"long",4,2,8,-18.12,18.42
"9","pup",0.243835616,0,"long",5,2,10,-18.16,18.27
"9","pup",0.243835616,0,"long",6,4,14,-18.12,18
"9","pup",0.243835616,0,"long",7,2,16,-18.34,18.1
"9","pup",0.243835616,0,"long",8,2,18,-18.35,18.09
"9","pup",0.243835616,0,"long",9,2,20,-18.38,18.1
"9","pup",0.243835616,0,"long",10,2,22,-18.34,18.16
"9","pup",0.243835616,0,"long",11,4,26,-18.28,17.72
"9","pup",0.243835616,0,"long",12,4,30,-18.26,17.99
"9","pup",0.243835616,0,"long",13,4,34,-18.13,17.28
"9","pup",0.243835616,0,"long",14,6,40,-18.82,16.33
"9","pup",0.243835616,0,"long",15,6,46,-17.98,18.45
"9","pup",0.243835616,0,"long",16,4,50,-17.84,19.36
"9","pup",0.243835616,0,"long",17,14,64,-17.75,18.85
"13","pup",0.252054795,0,"long",1,2,2,-17.92,17.82
"13","pup",0.252054795,0,"long",2,2,4,-17.94,17.43
"13","pup",0.252054795,0,"long",3,2,6,-17.94,16.69
"13","pup",0.252054795,0,"long",4,2,8,-17.81,16.47
"13","pup",0.252054795,0,"long",5,2,10,-17.69,16.32
"13","pup",0.252054795,0,"long",6,2,12,-17.79,16.41
"13","pup",0.252054795,0,"long",7,2,14,-17.74,15.88
"13","pup",0.252054795,0,"long",8,2,16,-17.82,15.59
"13","pup",0.252054795,0,"long",9,2,18,-17.87,14.65
"13","pup",0.252054795,0,"long",10,2,20,-17.96,14.31
"13","pup",0.252054795,0,"long",11,2,22,-17.61,15.66
"13","pup",0.252054795,0,"long",12,2,24,-17.07,15.5
"13","pup",0.252054795,0,"long",13,2,26,-17.04,16.2
"13","pup",0.252054795,0,"long",14,2,28,-17.41,15.51
"13","pup",0.252054795,0,"long",15,2,30,-18.27,15
"13","pup",0.252054795,0,"long",16,2,32,-18.02,16.73
"13","pup",0.252054795,0,"long",17,2,34,-17.82,16.75
"13","pup",0.252054795,0,"long",18,4,38,-17.85,17.08
"13","pup",0.252054795,0,"long",19,4,42,-17.88,16.18
"13","pup",0.252054795,0,"long",20,6,48,-17.81,16.74
"13","pup",0.252054795,0,"long",21,27,75,-17.72,16.14
"20","pup",0.271232877,0,"long",1,2,2,-17.78,16.4
"20","pup",0.271232877,0,"long",2,2,4,-17.87,16.38
"20","pup",0.271232877,0,"long",3,2,6,-17.97,16.03
"20","pup",0.271232877,0,"long",4,2,8,-18.01,15.66
"20","pup",0.271232877,0,"long",5,1,9,-17.96,15.53
"20","pup",0.271232877,0,"long",6,2,11,-17.83,15.32
"20","pup",0.271232877,0,"long",7,1,12,-17.74,15.42
"20","pup",0.271232877,0,"long",8,2,14,-17.49,15.36
"20","pup",0.271232877,0,"long",9,2,16,-17.45,14.51
"20","pup",0.271232877,0,"long",10,2,18,-17.19,13.85
"20","pup",0.271232877,0,"long",11,2,20,-17.58,12.86
"20","pup",0.271232877,0,"long",12,2,22,-17.77,15.4
"20","pup",0.271232877,0,"long",13,2,24,-17.34,15.87
"20","pup",0.271232877,0,"long",14,2,26,-17.21,15.46
"20","pup",0.271232877,0,"long",15,2,28,-17.12,16.03
"20","pup",0.271232877,0,"long",16,2,30,-17.83,15.08
"20","pup",0.271232877,0,"long",17,2,32,-17.59,12.69
"20","pup",0.271232877,0,"long",18,2,34,-18,11.61
"20","pup",0.271232877,0,"long",19,4,38,-18.22,13.95
"20","pup",0.271232877,0,"long",20,4,42,-17.8,14.31
"20","pup",0.271232877,0,"long",21,4,46,-17.68,13.79
"20","pup",0.271232877,0,"long",22,6,52,-17.61,14.26
"20","pup",0.271232877,0,"long",23,17,69,-17.35,13.2
"22","pup",0.279452055,0,"long",1,2,2,-18.21,19.64
"22","pup",0.279452055,0,"long",2,2,4,-17.95,19.42
"22","pup",0.279452055,0,"long",3,2,6,-17.78,19.26
"22","pup",0.279452055,0,"long",4,2,8,-17.76,19.11
"22","pup",0.279452055,0,"long",5,2,10,-17.73,18.98
"22","pup",0.279452055,0,"long",6,2,12,-17.77,18.76
"22","pup",0.279452055,0,"long",7,2,14,-17.82,18.61
"22","pup",0.279452055,0,"long",8,2,16,-17.95,18.4
"22","pup",0.279452055,0,"long",9,2,18,-17.99,18.26
"22","pup",0.279452055,0,"long",10,2,20,-18.08,18.14
"22","pup",0.279452055,0,"long",11,2,22,-18.15,17.99
"22","pup",0.279452055,0,"long",12,2,24,-18.27,18.01
"22","pup",0.279452055,0,"long",13,2,26,-18.33,17.89
"22","pup",0.279452055,0,"long",14,2,28,-18.52,17.37
"22","pup",0.279452055,0,"long",15,2,30,-18.66,17.65
"22","pup",0.279452055,0,"long",16,2,32,-18.53,17.02
"22","pup",0.279452055,0,"long",17,2,34,-18.67,16.28
"22","pup",0.279452055,0,"long",18,2,36,-18.83,15.9
"22","pup",0.279452055,0,"long",19,2,38,-19.07,15.74
"22","pup",0.279452055,0,"long",20,2,40,-19.23,15.95
"22","pup",0.279452055,0,"long",21,4,44,-18.76,16.84
"22","pup",0.279452055,0,"long",22,4,48,-18.01,18.99
"22","pup",0.279452055,0,"long",23,4,52,-17.78,19.38
"22","pup",0.279452055,0,"long",24,4,56,-17.51,18.94
"22","pup",0.279452055,0,"long",25,8,64,-17.33,18.82
"22","pup",0.279452055,0,"long",26,25,89,-17.34,18.6
"24","pup",0.279452055,0,"long",1,2,2,-18.04,19.7
"24","pup",0.279452055,0,"long",2,2,4,-17.95,19.11
"24","pup",0.279452055,0,"long",3,2,6,-17.98,18.93
"24","pup",0.279452055,0,"long",4,2,8,-17.95,18.82
"24","pup",0.279452055,0,"long",5,2,10,-17.95,18.77
"24","pup",0.279452055,0,"long",6,2,12,-18.02,18.52
"24","pup",0.279452055,0,"long",7,2,14,-18.14,18.47
"24","pup",0.279452055,0,"long",8,2,16,-18.23,18.47
"24","pup",0.279452055,0,"long",9,2,18,-18.2,18.34
"24","pup",0.279452055,0,"long",10,2,20,-18.32,18.31
"24","pup",0.279452055,0,"long",11,2,22,-18.25,18.22
"24","pup",0.279452055,0,"long",12,4,26,-18.3,17.41
"24","pup",0.279452055,0,"long",13,4,30,-18.58,16.3
"24","pup",0.279452055,0,"long",14,6,36,-18.35,17.68
"24","pup",0.279452055,0,"long",15,6,42,-17.76,19.03
"24","pup",0.279452055,0,"long",16,14,56,-17.06,18.37
"24","pup",0.279452055,0,"long",17,10,66,NA,NA
"26","pup",0.279452055,0,"long",1,2,2,NA,NA
"26","pup",0.279452055,0,"long",2,2,4,-17.7,19.31
"26","pup",0.279452055,0,"long",3,2,6,-17.55,19.47
"26","pup",0.279452055,0,"long",4,2,8,-17.64,19.25
"26","pup",0.279452055,0,"long",5,2,10,-17.67,19.08
"26","pup",0.279452055,0,"long",6,2,12,-17.71,18.95
"26","pup",0.279452055,0,"long",7,2,14,-17.68,18.89
"26","pup",0.279452055,0,"long",8,2,16,-17.65,18.64
"26","pup",0.279452055,0,"long",9,2,18,-17.71,18.69
"26","pup",0.279452055,0,"long",10,2,20,-17.61,18.49
"26","pup",0.279452055,0,"long",11,2,22,-17.63,18.39
"26","pup",0.279452055,0,"long",12,2,24,-17.76,18.35
"26","pup",0.279452055,0,"long",13,2,26,-17.73,18.29
"26","pup",0.279452055,0,"long",14,2,28,-17.76,18.22
"26","pup",0.279452055,0,"long",15,2,30,-17.81,18.08
"26","pup",0.279452055,0,"long",16,2,32,-17.8,17.99
"26","pup",0.279452055,0,"long",17,2,34,-17.81,17.69
"26","pup",0.279452055,0,"long",18,2,36,-17.82,17.57
"26","pup",0.279452055,0,"long",19,2,38,-17.87,17.69
"26","pup",0.279452055,0,"long",20,2,40,-17.82,17.38
"26","pup",0.279452055,0,"long",21,4,44,-18.06,16.32
"26","pup",0.279452055,0,"long",22,4,48,-18.17,16.04
"26","pup",0.279452055,0,"long",23,4,52,-18,16.65
"26","pup",0.279452055,0,"long",24,6,58,-17.47,17.42
"26","pup",0.279452055,0,"long",25,14,72,-17.03,18
"26","pup",0.279452055,0,"long",26,14,86,-17.95,19.99
"27","pup",0.279452055,0,"long",1,2,2,-18.26,19.64
"27","pup",0.279452055,0,"long",2,2,4,-18.27,19.19
"27","pup",0.279452055,0,"long",3,2,6,-18.2,18.96
"27","pup",0.279452055,0,"long",4,2,8,-18.18,18.83
"27","pup",0.279452055,0,"long",5,2,10,-18.15,18.61
"27","pup",0.279452055,0,"long",6,2,12,-18.06,18.46
"27","pup",0.279452055,0,"long",7,2,14,-18.02,18.29
"27","pup",0.279452055,0,"long",8,2,16,-17.96,18.09
"27","pup",0.279452055,0,"long",9,2,18,-18.12,18.06
"27","pup",0.279452055,0,"long",10,2,20,-18.19,17.8
"27","pup",0.279452055,0,"long",11,2,22,-18.06,18.14
"27","pup",0.279452055,0,"long",12,2,24,-17.99,18.43
"27","pup",0.279452055,0,"long",13,2,26,-17.73,18.41
"27","pup",0.279452055,0,"long",14,2,28,-17.65,18.19
"27","pup",0.279452055,0,"long",15,2,30,-17.77,17.92
