"id","birth_percentile","collection_date","age","whisker_length","birth_date","in_utero_growth_rate","post_utero_growth_rate"
7,0.58,2015-10-06,64,68,2015-08-02,0.44,0.31
8,0.56,2015-10-06,70,67,2015-07-27,0.42,0.33
9,0.42,2015-10-06,123,64,2015-06-04,0.3,0.41
20,0.52,2015-10-16,82,69,2015-07-25,0.4,0.37
22,0.59,2015-10-19,63,89,2015-08-16,0.58,0.41
24,0.58,2015-10-19,65,66,2015-08-14,0.42,0.31
26,0.48,2015-10-19,98,86,2015-07-12,0.46,0.5
27,0.59,2015-10-19,63,80,2015-08-16,0.52,0.37
31,0.61,2015-11-06,58,92,2015-09-08,0.62,0.4
32,0.52,2015-11-06,83,100,2015-08-14,0.58,0.53
33,0.46,2015-11-06,105,84,2015-07-24,0.43,0.5
34,0.59,2015-11-06,63,89,2015-09-03,0.58,0.41
