"age_n","isotope","id","segment_percentile","fit"
0,"d13C","7",0.287592087407658,-16.9747477814944
0,"d13C","7",0.572294622725988,-18.2538254615584
0,"d13C","7",0.584025803084809,-18.2528067338938
0,"d13C","7",0.605795003988015,-18.2565071986859
0,"d13C","7",0.869230113005781,-17.8862816767497
0,"d13C","7",0.893796759940759,-17.8921962815872
0,"d13C","7",0.925588235294118,-17.8754478970494
0,"d13C","8",0.26809290070962,-16.8363260476555
0,"d13C","8",0.560082267299777,-18.4245660955767
0,"d13C","8",0.651864923218653,-18.0609558847466
0,"d13C","8",0.742187746897725,-18.0969837051976
0,"d13C","8",0.831118051970071,-17.875829155033
0,"d13C","8",0.890298507462686,-17.9890661714683
0,"d13C","8",0.954179104477612,-17.8811901898662
0,"d13C","9",0.137866525170458,-17.7006995718945
0,"d13C","9",0.418398778804675,-18.754350243022
0,"d13C","9",0.512585181339992,-18.1423402068694
0,"d13C","9",0.588216579163338,-18.2957115879411
0,"d13C","9",0.616223250943571,-18.2839631596513
0,"d13C","9",0.702849415691863,-18.3669704034648
0,"d13C","9",0.83036357894508,-18.109957685272
0,"d13C","9",0.865481056397251,-18.1600212787212
0,"d13C","9",0.924362477646606,-17.953207433507
0,"d13C","13",0.297497269332993,-17.5524253685575
0,"d13C","13",0.487489065520251,-17.9045134737742
0,"d13C","13",0.546608845137585,-17.8074796938298
0,"d13C","13",0.606901718740368,-18.1160384653066
0,"d13C","13",0.674556497657489,-17.0133729680924
0,"d13C","13",0.755752687991859,-17.9043346740071
0,"d13C","13",0.868464516673604,-17.7342856220942
0,"d13C","13",0.956346039519392,-17.9573754602548
0,"d13C","20",0.137676549893097,-17.3712544100043
0,"d13C","20",0.359971689595462,-17.6833441887823
0,"d13C","20",0.383294191395469,-17.6778485255076
0,"d13C","20",0.47717121963442,-18.1894601677964
0,"d13C","20",0.637311609019455,-17.1495641590612
0,"d13C","20",0.702052172955121,-17.6871147489316
0,"d13C","20",0.764005665309024,-17.2995979529974
